DEBUG:root:.CONNECT
DEBUG:root:.FINISHED CONNECT
DEBUG:root:2010-09-15 19:49:54.500235 | A: 29.41
DEBUG:root:UNHANDLED EXCEPTION
DEBUG:root:'A'
DEBUG:root:.CONNECT
DEBUG:root:.FINISHED CONNECT
DEBUG:root:2010-09-17 08:47:10.590802 | A: 30.52
DEBUG:root:UNHANDLED EXCEPTION
DEBUG:root:'A'
DEBUG:root:.CONNECT
DEBUG:root:.FINISHED CONNECT
DEBUG:root:2010-09-19 21:50:03.320875 | HEARTBEAT: 1284951003
DEBUG:root:2010-09-19 21:55:03.324059 | HEARTBEAT: 1284951303
DEBUG:root:2010-09-19 22:00:03.310013 | HEARTBEAT: 1284951603
DEBUG:root:2010-09-19 22:05:03.371957 | HEARTBEAT: 1284951903
DEBUG:root:2010-09-19 22:10:03.305166 | HEARTBEAT: 1284952203
DEBUG:root:2010-09-19 22:15:03.360769 | HEARTBEAT: 1284952503
DEBUG:root:2010-09-19 22:20:03.333604 | HEARTBEAT: 1284952803
DEBUG:root:2010-09-19 22:25:03.336600 | HEARTBEAT: 1284953103
DEBUG:root:2010-09-19 22:30:03.334188 | HEARTBEAT: 1284953403
DEBUG:root:2010-09-19 22:35:03.327187 | HEARTBEAT: 1284953703
DEBUG:root:2010-09-19 22:40:03.372546 | HEARTBEAT: 1284954003
DEBUG:root:2010-09-19 22:45:03.322301 | HEARTBEAT: 1284954303
DEBUG:root:2010-09-19 22:50:03.362679 | HEARTBEAT: 1284954603
DEBUG:root:2010-09-19 22:55:03.358811 | HEARTBEAT: 1284954903
DEBUG:root:2010-09-19 23:00:03.374295 | HEARTBEAT: 1284955203
DEBUG:root:2010-09-19 23:05:03.353612 | HEARTBEAT: 1284955503
DEBUG:root:2010-09-19 23:10:03.378036 | HEARTBEAT: 1284955803
DEBUG:root:2010-09-19 23:15:03.316853 | HEARTBEAT: 1284956103
DEBUG:root:2010-09-19 23:20:03.343029 | HEARTBEAT: 1284956403
DEBUG:root:2010-09-19 23:25:03.343164 | HEARTBEAT: 1284956703
DEBUG:root:2010-09-19 23:30:03.299270 | HEARTBEAT: 1284957003
DEBUG:root:2010-09-19 23:35:03.396630 | HEARTBEAT: 1284957303
DEBUG:root:2010-09-19 23:40:03.387020 | HEARTBEAT: 1284957603
DEBUG:root:2010-09-19 23:45:03.367953 | HEARTBEAT: 1284957903
DEBUG:root:2010-09-19 23:50:03.304214 | HEARTBEAT: 1284958203
DEBUG:root:2010-09-19 23:55:03.389849 | HEARTBEAT: 1284958503
DEBUG:root:2010-09-20 00:00:03.352095 | HEARTBEAT: 1284958803
DEBUG:root:2010-09-20 00:05:03.340042 | HEARTBEAT: 1284959103
DEBUG:root:2010-09-20 00:10:03.330078 | HEARTBEAT: 1284959403
DEBUG:root:2010-09-20 00:15:03.340553 | HEARTBEAT: 1284959703
DEBUG:root:2010-09-20 00:20:03.343466 | HEARTBEAT: 1284960003
DEBUG:root:2010-09-20 00:25:03.378479 | HEARTBEAT: 1284960303
DEBUG:root:2010-09-20 00:30:03.365922 | HEARTBEAT: 1284960603
DEBUG:root:2010-09-20 00:35:03.353744 | HEARTBEAT: 1284960903
DEBUG:root:2010-09-20 00:40:03.366790 | HEARTBEAT: 1284961203
DEBUG:root:2010-09-20 00:45:03.353981 | HEARTBEAT: 1284961503
DEBUG:root:2010-09-20 00:50:03.379118 | HEARTBEAT: 1284961803
DEBUG:root:2010-09-20 00:55:03.313021 | HEARTBEAT: 1284962103
DEBUG:root:2010-09-20 01:00:03.361890 | HEARTBEAT: 1284962403
DEBUG:root:2010-09-20 01:05:03.310737 | HEARTBEAT: 1284962703
DEBUG:root:2010-09-20 01:10:03.401519 | HEARTBEAT: 1284963003
DEBUG:root:2010-09-20 01:15:03.359048 | HEARTBEAT: 1284963303
DEBUG:root:2010-09-20 01:20:03.337354 | HEARTBEAT: 1284963603
DEBUG:root:2010-09-20 01:25:03.355435 | HEARTBEAT: 1284963903
DEBUG:root:2010-09-20 01:30:03.310145 | HEARTBEAT: 1284964203
DEBUG:root:2010-09-20 01:35:03.353417 | HEARTBEAT: 1284964503
DEBUG:root:2010-09-20 01:40:03.356185 | HEARTBEAT: 1284964803
DEBUG:root:2010-09-20 01:45:03.389661 | HEARTBEAT: 1284965103
DEBUG:root:2010-09-20 01:50:03.316856 | HEARTBEAT: 1284965403
